pixel_x,pixel_y,mmx,mmy,filename
1132,211,-1.0,100.0,pinBack/img_x-1.0_y100.0_z132.jpg
922,456,2.0,103.5,pinBack/img_x2.0_y103.5_z132.jpg
676,386,5.5,102.5,pinBack/img_x5.5_y102.5_z132.jpg
326,281,10.5,101.0,pinBack/img_x10.5_y101.0_z132.jpg
782,351,4.0,102.0,pinBack/img_x4.0_y102.0_z132.jpg
151,562,13.0,105.0,pinBack/img_x13.0_y105.0_z132.jpg
817,421,3.5,103.0,pinBack/img_x3.5_y103.0_z132.jpg
1097,246,-0.5,100.5,pinBack/img_x-0.5_y100.5_z132.jpg
1237,491,-2.5,104.0,pinBack/img_x-2.5_y104.0_z132.jpg
291,316,11.0,101.5,pinBack/img_x11.0_y101.5_z132.jpg
536,246,7.5,100.5,pinBack/img_x7.5_y100.5_z132.jpg
746,176,4.5,99.5,pinBack/img_x4.5_y99.5_z132.jpg
536,141,7.5,99.0,pinBack/img_x7.5_y99.0_z132.jpg
1062,316,0.0,101.5,pinBack/img_x0.0_y101.5_z132.jpg
396,316,9.5,101.5,pinBack/img_x9.5_y101.5_z132.jpg
922,562,2.0,105.0,pinBack/img_x2.0_y105.0_z132.jpg
676,491,5.5,104.0,pinBack/img_x5.5_y104.0_z132.jpg
186,421,12.5,103.0,pinBack/img_x12.5_y103.0_z132.jpg
431,141,9.0,99.0,pinBack/img_x9.0_y99.0_z132.jpg
957,281,1.5,101.0,pinBack/img_x1.5_y101.0_z132.jpg
1237,386,-2.5,102.5,pinBack/img_x-2.5_y102.5_z132.jpg
641,211,6.0,100.0,pinBack/img_x6.0_y100.0_z132.jpg
151,456,13.0,103.5,pinBack/img_x13.0_y103.5_z132.jpg
782,526,4.0,104.5,pinBack/img_x4.0_y104.5_z132.jpg
501,281,8.0,101.0,pinBack/img_x8.0_y101.0_z132.jpg
431,386,9.0,102.5,pinBack/img_x9.0_y102.5_z132.jpg
221,211,12.0,100.0,pinBack/img_x12.0_y100.0_z132.jpg
571,456,7.0,103.5,pinBack/img_x7.0_y103.5_z132.jpg
361,526,10.0,104.5,pinBack/img_x10.0_y104.5_z132.jpg
1027,386,0.5,102.5,pinBack/img_x0.5_y102.5_z132.jpg
116,246,13.5,100.5,pinBack/img_x13.5_y100.5_z132.jpg
466,351,8.5,102.0,pinBack/img_x8.5_y102.0_z132.jpg
81,316,14.0,101.5,pinBack/img_x14.0_y101.5_z132.jpg
1202,316,-2.0,101.5,pinBack/img_x-2.0_y101.5_z132.jpg
992,351,1.0,102.0,pinBack/img_x1.0_y102.0_z132.jpg
256,491,11.5,104.0,pinBack/img_x11.5_y104.0_z132.jpg
606,421,6.5,103.0,pinBack/img_x6.5_y103.0_z132.jpg
361,141,10.0,99.0,pinBack/img_x10.0_y99.0_z132.jpg
361,351,10.0,102.0,pinBack/img_x10.0_y102.0_z132.jpg
