pixel_x,pixel_y,mmx,mmy,filename
133,359,98.0,118.0,DihImages_R/img_x98.0_y118.0_z185.jpg
1397,275,83.0,117.0,DihImages_R/img_x83.0_y117.0_z185.jpg
681,359,91.5,118.0,DihImages_R/img_x91.5_y118.0_z185.jpg
596,64,92.5,114.5,DihImages_R/img_x92.5_y114.5_z185.jpg
1397,528,83.0,120.0,DihImages_R/img_x83.0_y120.0_z185.jpg
1271,190,84.5,116.0,DihImages_R/img_x84.5_y116.0_z185.jpg
386,148,95.0,115.5,DihImages_R/img_x95.0_y115.5_z185.jpg
301,443,96.0,119.0,DihImages_R/img_x96.0_y119.0_z185.jpg
428,106,94.5,115.0,DihImages_R/img_x94.5_y115.0_z185.jpg
175,485,97.5,119.5,DihImages_R/img_x97.5_y119.5_z185.jpg
1229,232,85.0,116.5,DihImages_R/img_x85.0_y116.5_z185.jpg
807,401,90.0,118.5,DihImages_R/img_x90.0_y118.5_z185.jpg
934,106,88.5,115.0,DihImages_R/img_x88.5_y115.0_z185.jpg
49,232,99.0,116.5,DihImages_R/img_x99.0_y116.5_z185.jpg
1187,401,85.5,118.5,DihImages_R/img_x85.5_y118.5_z185.jpg
217,317,97.0,117.5,DihImages_R/img_x97.0_y117.5_z185.jpg
765,232,90.5,116.5,DihImages_R/img_x90.5_y116.5_z185.jpg
91,190,98.5,116.0,DihImages_R/img_x98.5_y116.0_z185.jpg
892,148,89.0,115.5,DihImages_R/img_x89.0_y115.5_z185.jpg
723,190,91.0,116.0,DihImages_R/img_x91.0_y116.0_z185.jpg
1355,443,83.5,119.0,DihImages_R/img_x83.5_y119.0_z185.jpg
259,528,96.5,120.0,DihImages_R/img_x96.5_y120.0_z185.jpg
259,275,96.5,117.0,DihImages_R/img_x96.5_y117.0_z185.jpg
1313,359,84.0,118.0,DihImages_R/img_x84.0_y118.0_z185.jpg
1060,64,87.0,114.5,DihImages_R/img_x87.0_y114.5_z185.jpg
1144,528,86.0,120.0,DihImages_R/img_x86.0_y120.0_z185.jpg
428,359,94.5,118.0,DihImages_R/img_x94.5_y118.0_z185.jpg
175,64,97.5,114.5,DihImages_R/img_x97.5_y114.5_z185.jpg
1144,275,86.0,117.0,DihImages_R/img_x86.0_y117.0_z185.jpg
807,148,90.0,115.5,DihImages_R/img_x90.0_y115.5_z185.jpg
554,443,93.0,119.0,DihImages_R/img_x93.0_y119.0_z185.jpg
976,190,88.0,116.0,DihImages_R/img_x88.0_y116.0_z185.jpg
681,106,91.5,115.0,DihImages_R/img_x91.5_y115.0_z185.jpg
596,485,92.5,119.5,DihImages_R/img_x92.5_y119.5_z185.jpg
1018,317,87.5,117.5,DihImages_R/img_x87.5_y117.5_z185.jpg
386,401,95.0,118.5,DihImages_R/img_x95.0_y118.5_z185.jpg
849,232,89.5,116.5,DihImages_R/img_x89.5_y116.5_z185.jpg
133,106,98.0,115.0,DihImages_R/img_x98.0_y115.0_z185.jpg
639,317,92.0,117.5,DihImages_R/img_x92.0_y117.5_z185.jpg
344,232,95.5,116.5,DihImages_R/img_x95.5_y116.5_z185.jpg
1313,106,84.0,115.0,DihImages_R/img_x84.0_y115.0_z185.jpg
1060,485,87.0,119.5,DihImages_R/img_x87.0_y119.5_z185.jpg
892,401,89.0,118.5,DihImages_R/img_x89.0_y118.5_z185.jpg
1187,148,85.5,115.5,DihImages_R/img_x85.5_y115.5_z185.jpg
1102,443,86.5,119.0,DihImages_R/img_x86.5_y119.0_z185.jpg
470,190,94.0,116.0,DihImages_R/img_x94.0_y116.0_z185.jpg
512,275,93.5,117.0,DihImages_R/img_x93.5_y117.0_z185.jpg
512,528,93.5,120.0,DihImages_R/img_x93.5_y120.0_z185.jpg
934,359,88.5,118.0,DihImages_R/img_x88.5_y118.0_z185.jpg
49,359,99.0,118.0,DihImages_R/img_x99.0_y118.0_z185.jpg
512,64,93.5,114.5,DihImages_R/img_x93.5_y114.5_z185.jpg
765,359,90.5,118.0,DihImages_R/img_x90.5_y118.0_z185.jpg
217,443,97.0,119.0,DihImages_R/img_x97.0_y119.0_z185.jpg
470,148,94.0,115.5,DihImages_R/img_x94.0_y115.5_z185.jpg
1187,190,85.5,116.0,DihImages_R/img_x85.5_y116.0_z185.jpg
91,401,98.5,118.5,DihImages_R/img_x98.5_y118.5_z185.jpg
1313,232,84.0,116.5,DihImages_R/img_x84.0_y116.5_z185.jpg
259,485,96.5,119.5,DihImages_R/img_x96.5_y119.5_z185.jpg
344,106,95.5,115.0,DihImages_R/img_x95.5_y115.0_z185.jpg
1355,317,83.5,117.5,DihImages_R/img_x83.5_y117.5_z185.jpg
723,401,91.0,118.5,DihImages_R/img_x91.0_y118.5_z185.jpg
133,232,98.0,116.5,DihImages_R/img_x98.0_y116.5_z185.jpg
849,106,89.5,115.0,DihImages_R/img_x89.5_y115.0_z185.jpg
301,317,96.0,117.5,DihImages_R/img_x96.0_y117.5_z185.jpg
1271,401,84.5,118.5,DihImages_R/img_x84.5_y118.5_z185.jpg
681,232,91.5,116.5,DihImages_R/img_x91.5_y116.5_z185.jpg
1397,485,83.0,119.5,DihImages_R/img_x83.0_y119.5_z185.jpg
976,148,88.0,115.5,DihImages_R/img_x88.0_y115.5_z185.jpg
807,190,90.0,116.0,DihImages_R/img_x90.0_y116.0_z185.jpg
1144,64,86.0,114.5,DihImages_R/img_x86.0_y114.5_z185.jpg
1229,359,85.0,118.0,DihImages_R/img_x85.0_y118.0_z185.jpg
175,275,97.5,117.0,DihImages_R/img_x97.5_y117.0_z185.jpg
175,528,97.5,120.0,DihImages_R/img_x97.5_y120.0_z185.jpg
1060,275,87.0,117.0,DihImages_R/img_x87.0_y117.0_z185.jpg
259,64,96.5,114.5,DihImages_R/img_x96.5_y114.5_z185.jpg
344,359,95.5,118.0,DihImages_R/img_x95.5_y118.0_z185.jpg
1060,528,87.0,120.0,DihImages_R/img_x87.0_y120.0_z185.jpg
639,443,92.0,119.0,DihImages_R/img_x92.0_y119.0_z185.jpg
723,148,91.0,115.5,DihImages_R/img_x91.0_y115.5_z185.jpg
892,190,89.0,116.0,DihImages_R/img_x89.0_y116.0_z185.jpg
